,author_id,z_score,features,feature_stats,author,feature_names
30,30,"[np.float64(2.8381954251434824), np.float64(2.8267459197771205), np.float64(2.473256804872581), np.float64(2.4256747025464223), np.float64(2.423412586759087)]","[127, 416, 866, 561, 797]","[np.float64(0.027120275119795992), np.float64(0.011611599791987755), np.float64(0.004759233421019106), np.float64(0.00841336618576153), np.float64(0.005361072592739352)]",Dostoevsky,"['(PART, <-, NOUN, obj)' '(ADV, <-, NUM, nsubj)' '(AUX, <-, NOUN, csubj)'
 '(CCONJ, ->, VERB, cop)' '(X, <-, NUM, nsubj)']"
31,31,"[np.float64(4.17212718638899), np.float64(3.9411580353975593), np.float64(3.8347128356528195), np.float64(3.496358674456391), np.float64(3.496358674456391)]","[8, 192, 48, 133, 864]","[np.float64(0.051536520833240784), np.float64(0.010096546381102524), np.float64(0.024224245254871178), np.float64(0.0009062194510428115), np.float64(0.014722555201900625)]",Dovlatov,"['(NOUN, <-, DET, PAD)' '(PRON, <-, PRON, discourse)'
 '(ADP, ->, VERB, obl)' '(INTJ, ->, INTJ, case)'
 '(NUM, <-, VERB, parataxis)']"
32,32,"[np.float64(7.392254494394596), np.float64(7.392254494394596), np.float64(7.190480702545992), np.float64(7.176951257644576), np.float64(6.872680882656679)]","[931, 946, 861, 890, 932]","[np.float64(0.0028805872091857746), np.float64(0.0028805872091857746), np.float64(0.0031288795294550356), np.float64(0.0028805872091857746), np.float64(0.0028805872091857746)]",Dragunski,"['(ADV, <-, PART, conj)' '(NOUN, <-, ADP, advmod)' '(PROPN, <-, ADV, cc)'
 '(ADV, ->, DET, advmod)' '(ADJ, <-, PROPN, nummod:gov)']"
33,33,"[np.float64(24.134844196274), np.float64(22.68561925672631), np.float64(21.01846811974473), np.float64(17.987818197013542), np.float64(17.933797469391934)]","[168, 50, 127, 16, 98]","[np.float64(0.0296440845785171), np.float64(0.0296440845785171), np.float64(0.0296440845785171), np.float64(0.0592881691570342), np.float64(0.0296440845785171)]",Drobyshevsky Rupasova,"['(NUM, <-, DET, mark)' '(PROPN, <-, CCONJ, case)' '(PART, <-, NOUN, obj)'
 '(INTJ, ->, ADP, mark)' '(NOUN, ->, ADJ, flat:foreign)']"
34,34,"[np.float64(11.74226475728417), np.float64(11.565195764841182), np.float64(11.532654082016927), np.float64(11.51670504465281), np.float64(11.336976940125046)]","[34, 8, 19, 261, 438]","[np.float64(0.06186025285194951), np.float64(0.12220033513073514), np.float64(0.08441553810429865), np.float64(0.014415622181744173), np.float64(0.008172194999376757)]",Drobyshevsky,"['(NOUN, <-, CCONJ, punct)' '(NOUN, <-, DET, PAD)'
 '(NOUN, <-, VERB, iobj)' '(NOUN, <-, CCONJ, appos)'
 '(X, <-, X, flat:foreign)']"
35,35,"[np.float64(24.474510721194733), np.float64(19.92840480387794), np.float64(18.378855329975615), np.float64(16.900248020277296), np.float64(16.308962472028707)]","[578, 636, 777, 734, 747]","[np.float64(0.004664986412998274), np.float64(0.004664986412998274), np.float64(0.004664986412998274), np.float64(0.004664986412998274), np.float64(0.004664986412998274)]",Dubchak,"['(ADP, ->, SCONJ, fixed)' '(PROPN, <-, ADV, nsubj)'
 '(VERB, <-, ADJ, parataxis)' '(ADV, <-, PRON, expl)'
 '(NUM, ->, PAD, acl)']"
36,36,"[np.float64(24.474510721194733), np.float64(24.175329838707725), np.float64(24.105995553575685), np.float64(23.94524755063932), np.float64(23.085171241788903)]","[202, 124, 176, 143, 192]","[np.float64(0.019796390382927943), np.float64(0.019796390382927943), np.float64(0.019796390382927943), np.float64(0.019796390382927943), np.float64(0.019796390382927943)]",EdimDoma,"['(ADV, <-, ADV, ccomp)' '(DET, ->, PAD, ccomp)'
 '(DET, <-, PRON, discourse)' '(VERB, <-, X, parataxis)'
 '(PRON, <-, PRON, discourse)']"
37,37,"[np.float64(3.9441975995509413), np.float64(3.88704035545809), np.float64(3.286589038600374), np.float64(2.9862108383440233), np.float64(2.7956670322456576)]","[0, 3, 1013, 29, 1]","[np.float64(0.09652353645529858), np.float64(0.07569058447378714), np.float64(0.0014132195921496293), np.float64(0.030147663583039188), np.float64(0.09359810918359265)]",Efremov,"['(PROPN, ->, ADJ, advcl)' '(X, <-, PROPN, flat)' '(NOUN, ->, DET, nsubj)'
 '(DET, ->, SCONJ, acl:relcl)' '(X, ->, PROPN, mark)']"
38,38,"[np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398247), np.float64(8.158170240398245)]","[1939, 1986, 1988, 1995, 1618]","[np.float64(0.0007188583162448178), np.float64(0.0007188583162448178), np.float64(0.0007188583162448178), np.float64(0.0007188583162448178), np.float64(0.0010522076183672627)]",Epstein,"['(PAD, ->, DET, obl)' '(ADV, <-, PAD, csubj)' '(ADJ, ->, ADV, parataxis)'
 '(PAD, ->, ADV, nmod)' '(ADJ, ->, ADP, flat:foreign)']"
39,39,"[np.float64(5.96260464811391), np.float64(4.980228941593542), np.float64(4.894902144238948), np.float64(4.894902144238948), np.float64(4.894902144238948)]","[489, 882, 1494, 1661, 1670]","[np.float64(0.006612679435076909), np.float64(0.00313484118547783), np.float64(0.0007245885435128037), np.float64(0.0007245885435128037), np.float64(0.0007245885435128037)]",Exler,"['(ADV, <-, CCONJ, fixed)' '(CCONJ, <-, NUM, nummod)'
 '(SCONJ, ->, PRON, obj)' '(INTJ, <-, PROPN, amod)'
 '(ADJ, <-, PRON, ccomp)']"
